section,thumbnail,name,title,linkedin,website,twitter,facebook,motto,photo
6.1.2.1,xinyu.jpg,Xinyu Tian | 田馨宇,Research Affiliate; Philanthropist Affiliate," https://www.linkedin.com/in/xinyu-tian-1777aa203/",,,,"读万卷书，行万里路。

Read more, travel more.",
6.1.2.1,zesen.jpg,Zesen Zhuang | 庄泽森,Research Affiliate; Innovation Affiliate; Philanthropist Affiliate,https://www.linkedin.com/in/zesen-zhuang-624591217/,https://www.crinstaniev.com,,,"Preserve your dignity as a nobody; promote the social wellfare as a somebody.

穷则独善其身，达则兼济天下",
6.1.2.1,tianyu.jpg,Tianyu Wu | 吴天语,Research Affiliate; Philanthropist Affiliate,https://www.linkedin.com/in/tianyu-henry-wu/,,,,"English: To learn extensively, to inquire accurately, to reflect carefully, to distinguish clearly, and to manifest earnestly.

Deutsch: Lernen Sie es, hinterfragen Sie es, denken Sie sorgfältig darüber nach, unterscheiden Sie es klar und üben Sie es ernsthaft.

",
6.1.2.1,jiasheng.png,Ray Zhu | 朱家昇,Research Affiliate; Philanthropist Affiliate,"https://www.linkedin.com/in/jiasheng-ray-zhu-845241177/ ",,,,"Mencius: A just cause attracts much support, an unjust one finds little.

得道多助，失道寡助。",
6.1.2.1,yinhong.jpg,Yinhong (William) Zhao,Philanthropist Affiliate,"https://www.linkedin.com/in/williamzhao123 ",,,,,
6.1.2.1,ziliang.jpg,Ziliang (Lewis) Tian,Research Affiliate; Philanthropist Affiliate,"https://www.linkedin.com/in/lewistian/ ",,,,"Seeking the best version of self

寻找最好的自己

",
6.1.2.1,zichao.jpg,Zichao Chen | 陈子超,Research Affiliate; Philanthropist Affiliate,https://www.linkedin.com/in/zichao-9507281a9/,,,,"Aristotle: The ultimate value of life depends upon awareness and the power of contemplation rather than upon mere survival. 

亚里士多德：人生最终的价值在于觉醒和思考的能力，而不只在于生存。

",
6.1.2.1,yufan.png,Yufan Zhang | 张宇凡,Research Affiliate; Philanthropist Affiliate,"https://www.linkedin.com/in/helloyufan/ ",,,,"The running water does not rot, and the pivot of the house does not stink.

流水不腐，户枢不蠹。

",
6.1.2.1,yixuan.jpg,Yixuan Li | 黎以萱,Philanthropist Affiliate,"https://www.linkedin.com/in/yixuan-li-269356192/ ",,,,"Live life. Learn lessons. Liberate yourself.

生活。学习。解放自我。",
6.1.2.1,jiayi.png,Jiayi Li,Research Affiliate,https://www.linkedin.com/in/jiayi-li-188a27193/,,,,,
6.1.2.1,lunji.jpg,Lunji Zhu,Philanthropist Affiliate,https://www.linkedin.com/in/%E4%BC%A6%E7%A8%B7-%E6%9C%B1-831096192/,,,,,
6.1.2.1,saad.png,Saad Lahrichi,Research Affiliate,https://www.linkedin.com/in/saadlahrichi/,,,,,
6.1.2.1,carlos.jpg,Carlos Gustavo Salas Flores,Research Affiliate,https://www.linkedin.com/in/carlosgustavosalas/,,,,,
6.1.2.1,jingwei.jpg,Jingwei Li,Innovation Affiliate,https://www.linkedin.com/in/jw-li/,,,,,
6.1.2.1,chengyu.jpg,Chenyu Wang,Innovation Affiliate,https://www.linkedin.com/in/chenyuwangcw/,,,,,
6.1.2.1,jiarui.png,Jiarui Zhang,Research Affiliate,https://www.linkedin.com/in/jerry-zhang-b31b681bb/,,,,,
6.1.2.1,jingxi.jpg,Jingxi Cui,Research Affiliate,"https://www.linkedin.com/in/jingxi-cui-b1bb641b3/ ",,,,,
6.1.2.1,zhiyi.jpg,Zhiyi Chen,Research Affiliate,https://www.linkedin.com/in/zhiyi-chen-527217201/,,,,,
6.1.2.1,fei.jpg,Fei Wu,Research Affiliate,"https://www.linkedin.com/in/feiwucara/ ",,,,,
6.1.2.1,francesco.png,Francesco Cavallero,Philanthropist Affiliate,"https://www.linkedin.com/in/francesco-cavallero-180525172/ ",,,,,
6.1.2.1,zhitong.jpg,Zhitong Chen,Philanthropist Affiliate,https://www.linkedin.com/in/zhitong-chen-9004591a2/,,,,,
6.1.2.1,haoxin.jpg,Haoxin Yu,Philanthropist Affiliate,https://www.linkedin.com/in/haoxin-yu-424a27176/,,,,,
6.1.2.2,campbell.png,Prof. Campbell Harvey,"Professor of Finance at the Fuqua School of Business, Duke University and a Research Associate of the National Bureau of Economic Research in Cambridge, Massachusetts",,,,,,
6.1.2.2,jimmie.png,Prof. Jimmie Lenz,Director of the Master of Engineering in FinTech in the Pratt School of Engineering at Duke University,,,,,,
6.1.2.2,jeffrey.png,Prof. Jeffrey Wooldridge,University Distinguished Professor of Economics at Michigan State University,,,,,,
6.1.2.2,fei_yue.jpg,Prof. Fei-Yue Wang,"State special appointed expert and Director of the State Key Laboratory for Management and Control of Complex Systems, Institute of Automation, Chinese Academy of Sciences; Director of China Economics and Social Security Research Center in University of Chinese Academy of Science; President of Qingdao Academy of Intelligent Industries",,,,,,
6.1.2.2,robert.png,Dr. Robert Lauko,Founder of Liquity. Ph.D,,,,,,
6.1.2.2,vincent.jpg,Prof. Vincent Conitzer,"Kimberly J. Jenkins Distinguished University Professor of New Technologies, Professor of Computer Science, Professor of Economics, and Professor of Philosophy at Duke University",,,,,,
6.1.2.2,gary.jpg,Prof. Gary Charness,"Professor of Economics and the Director of the Experimental and Behavioral Economics Laboratory in the Department of Economics at the University of California, Santa Barbara",,,,,,
6.1.2.2,fan.png,Prof. Fan Zhang,Assistant Professor in Computer Science at Duke University,,,,,,
6.1.2.2,kartik.png,Prof. Kartik Nayak,Assistant Professor in the Computer Science department at Duke University,,,,,,
6.1.2.2,dustin.jpg,Dr. Dustin Becker,Research Scientist at Bochsler Finance,,,,,,
6.1.2.2,diana.jpg,Dr. Diana Gamborino,Bochsler Finance Solutions Scientific Researcher,,,,,,
6.1.2.2,kevin.jpg,Prof. Kevin Mo,"Director of Blockchain and Privacy-Preserving Computation Center, Beijing Big Data Research Institute",,,,,,
6.1.2.2,ye.png,Prof. Ye Li,Assistant Professor of Finance at the Ohio State University,,,,,,
6.1.2.2,yu.jpg,Prof. Yu Xiong,Chair of Business Analytics; Associate Dean International; Director of Surrey Center for Innovation and Commercialization (SCIC),,,,,,
6.1.2.2,charles.png,Mr. Charles Du,CEO and Founder at Meldd Consensus,,,,,,
6.1.2.2,justin.png,Prof. Justin Cappos,Associate Professor of Computer Science at New York University,,,,,,
6.1.2.2,bill.png,Mr. Bill Russo,Founder and CEO of Automobility Ltd.,,,,,,
6.1.2.2,olivier.png,Prof. Olivier Marin,Professor of Practice in Computer Science at NYU Shanghai,,,,,,
6.1.2.2,lee.png,Mr. Lee Reiners,Executive Director of Duke Global Financial Markets Center,,,,,,
6.1.2.2,luciano.png,Luciano Somoza,PhD Candidate at Swiss Finance Institute,,,,,,
6.1.2.2,rhys.png,Rhys Banerjee,Computer Science and Mathematics Undergraduate at Duke University,,,,,,
6.1.2.2,oum.png,Oum Lahade,Electrical & Computer Engineering and Mathematics Undergraduate at Duke University,,,,,,
6.1.2.2,dylan.png,Dylan Paul,Computer Science Undergraduate at Duke University,,,,,,
6.1.2.2,malika.png,Malika Rawal,Economics Undergraduate at Duke University,,,,,,
6.1.2.2,derrick.png,Derrick Adam,Economics and Computer Science Graduate at Duke University,,,,,,
